2022-05-12 11:51:53.021[1652367113021] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************INIT BINARIES*********************************
2022-05-12 11:51:53.021[1652367113021] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:51:53.021[1652367113021] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:51:53.022[1652367113022] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END INIT BINARIES*****************************
2022-05-12 11:51:53.022[1652367113022] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:51:53.972[1652367113972] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-12 11:51:54.339[1652367114339] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
2022-05-12 11:51:54.693[1652367114693] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:51:55.358[1652367115358] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END LOAD DATA*********************************
2022-05-12 11:52:53.017[1652367173017] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:52:53.017[1652367173017] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:52:53.018[1652367173018] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:52:53.018[1652367173018] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *********************INIT BINARIES*********************************
2022-05-12 11:52:53.018[1652367173018] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:52:53.018[1652367173018] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:52:53.018[1652367173018] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END INIT BINARIES*****************************
2022-05-12 11:52:53.018[1652367173018] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:52:53.421[1652367173421] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-12 11:52:53.763[1652367173763] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
