
2022-05-01 17:15:28.468[1651436128468] | INFO  | Thread-57  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BEAMUSDT&interval=1m
2022-05-01 17:15:28.468[1651436128468] | INFO  | Thread-58  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ARPAUSDT&interval=1m
2022-05-01 17:15:28.469[1651436128469] | INFO  | Thread-59  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=CELOUSDT&interval=1m
2022-05-01 17:15:28.469[1651436128469] | INFO  | Thread-60  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ASRUSDT&interval=1m
2022-05-01 17:15:28.469[1651436128469] | INFO  | Thread-61  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=XRPUSDT&interval=1m
2022-05-01 17:15:28.469[1651436128469] | INFO  | Thread-62  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ETHDOWNUSDT&interval=1m
2022-05-01 17:15:28.470[1651436128470] | INFO  | Thread-63  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ASTRUSDT&interval=1m
2022-05-01 17:15:28.470[1651436128470] | INFO  | Thread-64  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=LITUSDT&interval=1m
2022-05-01 17:15:28.471[1651436128471] | INFO  | Thread-65  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=XECUSDT&interval=1m
2022-05-01 17:15:28.471[1651436128471] | INFO  | Thread-67  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=YFIUSDT&interval=1m
2022-05-01 17:15:28.471[1651436128471] | INFO  | Thread-66  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=STEEMUSDT&interval=1m
2022-05-01 17:15:28.471[1651436128471] | INFO  | Thread-68  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=RAREUSDT&interval=1m
2022-05-01 17:15:28.472[1651436128472] | INFO  | Thread-69  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=UTKUSDT&interval=1m
2022-05-01 17:15:28.472[1651436128472] | INFO  | Thread-70  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=GHSTUSDT&interval=1m
2022-05-01 17:15:28.472[1651436128472] | INFO  | Thread-71  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=RLCUSDT&interval=1m
2022-05-01 17:15:28.476[1651436128476] | INFO  | Thread-72  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DFUSDT&interval=1m
2022-05-01 17:15:28.476[1651436128476] | INFO  | Thread-73  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=NBTUSDT&interval=1m
2022-05-01 17:15:28.477[1651436128477] | INFO  | Thread-74  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=PONDUSDT&interval=1m
2022-05-01 17:15:28.477[1651436128477] | INFO  | Thread-75  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=RIFUSDT&interval=1m
2022-05-01 17:15:28.477[1651436128477] | INFO  | Thread-76  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=LPTUSDT&interval=1m
2022-05-01 17:15:28.496[1651436128496] | INFO  | Thread-78  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=KMDUSDT&interval=1m
2022-05-01 17:15:28.496[1651436128496] | INFO  | Thread-79  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DIAUSDT&interval=1m
2022-05-01 17:15:28.496[1651436128496] | INFO  | Thread-80  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MASKUSDT&interval=1m
2022-05-01 17:15:28.496[1651436128496] | INFO  | Thread-77  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=JASMYUSDT&interval=1m
2022-05-01 17:15:28.497[1651436128497] | INFO  | Thread-82  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BALUSDT&interval=1m
2022-05-01 17:15:28.497[1651436128497] | INFO  | Thread-81  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=COCOSUSDT&interval=1m
2022-05-01 17:15:28.497[1651436128497] | INFO  | Thread-83  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=NEARUSDT&interval=1m
2022-05-01 17:15:28.498[1651436128498] | INFO  | Thread-84  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FISUSDT&interval=1m
